183,55,115,79.9,xlarge
150,20,60,6,xlarge
85,65,65,65,xlarge
183,55,115,79.9,xlarge
190,78,98,45,xlarge
183,55,115,79.9,xlarge
144,55,72,30,xlarge
114,50,71,69.15,xlarge
90,65,70,64,xlarge
165,14,40,12,xlarge
173,14,44,7.75,xlarge
150,38,45,40,xlarge
90,60,70,64,xlarge
172,68,72,66.85,xlarge
70,53,53,120.5,xlarge
180,47,93,51.5,xlarge
183,55,115,79.9,xlarge
150,20,45,16.5,xlarge
184,53,80,60.3,xlarge
110,90,100,45,xlarge
200,50,140,24,xlarge
200,50,140,24,xlarge
192,87,97,138,xlarge
